Group ID,Individual ID,indiv_convq
1_005,13,0.7
1_005,22,0.95
1_005,36,0.75
1_018,20,0.675
1_018,31,0.725
1_018,35,0.725
1_019,17,0.8500000000000001
1_019,25,0.95
1_019,28,0.7
1_020,19,0.525
1_020,34,0.475
1_030,17,0.8999999999999999
1_030,19,0.7749999999999999
1_030,28,0.8999999999999999
1_033,13,0.75
1_033,22,0.7
1_033,36,0.30000000000000004
1_034,17,0.825
1_034,19,0.8
1_034,25,0.8
1_034,28,0.725
1_035,12,0.675
1_035,13,0.7
1_035,22,0.675
1_035,36,0.675
1_042,16,0.65
1_042,18,0.375
1_042,21,0.575
1_044,3,0.875
1_044,22,0.8500000000000001
1_046,12,0.675
1_046,13,0.30000000000000004
1_046,36,0.75
1_047,12,0.8999999999999999
1_047,36,0.7749999999999999
1_059,6,0.7
1_059,34,0.75
1_060,20,0.55
1_060,31,0.55
1_060,35,0.6
1_061,12,0.75
1_061,22,0.725
1_061,36,0.675
1_062,6,0.8
1_062,20,0.75
1_062,31,0.75
1_062,34,0.7
1_062,35,0.575
1_065,6,0.675
1_065,34,0.75
1_066,20,0.7
1_066,31,0.675
1_066,35,0.725
1_067,17,0.75
1_067,19,0.75
1_067,25,0.75
1_067,28,0.75
1_068,2,0.35
1_068,13,0.75
1_068,18,0.675
1_068,24,0.575
1_069,38,0.75
1_069,39,0.75
1_071,6,0.7749999999999999
1_071,20,0.75
1_071,31,0.75
1_071,34,0.7
1_071,35,0.675
1_072,8,0.4
1_072,26,0.675
1_073,8,0.575
1_073,26,0.7
1_074,8,0.625
1_074,26,0.65
1_075,8,0.625
1_075,26,0.675
1_076,14,0.75
1_076,32,0.75
1_077,14,0.6
1_077,32,0.7
1_078,14,0.725
1_078,32,0.6
1_079,14,0.8
1_079,32,0.75
1_080,16,0.65
1_080,21,0.675
1_081,16,0.75
1_081,21,0.7
1_082,2,0.725
1_082,18,0.725
1_083,2,0.75
1_083,18,0.7749999999999999
1_084,16,0.8
1_084,21,0.7749999999999999
1_085,16,0.75
1_085,21,0.675
1_086,20,0.8500000000000001
1_086,31,0.7
1_086,34,0.8500000000000001
1_086,35,0.75
1_087,20,0.7749999999999999
1_087,31,0.725
1_087,34,0.65
1_087,35,0.75
1_088,12,0.8
1_088,36,0.8500000000000001
1_089,2,0.7749999999999999
1_089,13,0.8999999999999999
1_089,18,0.8500000000000001
1_090,19,0.7749999999999999
1_090,25,0.8
1_091,17,0.75
1_091,28,0.725
2_005,2,0.6
2_005,7,0.42500000000000004
2_005,31,0.44999999999999996
2_005,32,0.44999999999999996
2_005,36,0.6
2_006,10,0.65
2_006,12,0.75
2_006,13,0.35
2_006,15,0.5
2_006,33,0.75
2_006,37,0.7
2_009,23,0.7
2_009,26,0.5
2_011,14,0.475
2_011,16,0.525
2_011,29,0.7
2_020,2,0.55
2_020,7,0.55
2_021,31,0.44999999999999996
2_021,32,0.44999999999999996
2_021,36,0.275
2_022,10,0.75
2_022,12,0.6
2_022,33,0.675
2_027,27,0.15000000000000002
2_027,37,0.125
2_036,8,0.75
2_036,9,0.8500000000000001
2_036,14,0.65
2_036,16,0.7
2_036,22,0.75
2_036,35,0.75
2_038,10,0.7749999999999999
2_038,12,0.4
2_038,33,0.75
2_042,2,0.35
2_042,7,0.625
2_042,13,0.75
2_042,15,0.7
2_042,21,0.35
2_043,31,0.7
2_043,32,0.725
2_043,36,0.55
2_044,8,0.65
2_044,9,0.825
2_044,14,0.35
2_044,16,0.32499999999999996
2_044,22,0.625
2_044,30,0.7
2_050,1,0.7749999999999999
2_050,10,0.825
2_050,26,0.8
2_052,12,0.7749999999999999
2_052,13,0.65
2_052,15,0.5
2_052,21,0.25
2_056,27,0.675
2_056,28,0.75
2_056,37,0.7749999999999999
2_057,27,0.2
2_057,28,0.525
2_057,37,0.625
2_058,5,0.65
2_058,30,0.42500000000000004
2_059,5,0.625
2_059,30,0.525
2_060,8,0.7
2_060,9,0.7
2_060,14,0.575
2_060,16,0.42500000000000004
2_060,22,0.7
2_060,29,0.65
2_060,35,0.7
2_061,8,0.6
2_061,9,0.65
2_061,14,0.42500000000000004
2_061,16,0.65
2_061,22,0.725
2_061,29,0.7
2_061,35,0.35
2_062,5,0.75
2_062,29,0.75
2_063,5,0.75
2_063,29,0.7749999999999999
2_064,2,0.7749999999999999
2_064,7,0.575
2_064,31,0.7
2_064,32,0.7
2_064,36,0.7749999999999999
2_065,2,0.625
2_065,7,0.32499999999999996
2_065,31,0.30000000000000004
2_065,32,0.475
2_065,36,0.5
2_066,13,0.75
2_066,15,0.525
