Group ID,group_convq
1_005,0.7631578947368419
1_018,0.9210526315789475
1_019,0.631578947368421
1_020,0.8421052631578948
1_030,0.7105263157894736
1_033,0.5
1_034,0.7368421052631579
1_035,0.6842105263157894
1_042,0.6842105263157894
1_044,0.7105263157894736
1_046,0.5789473684210525
1_047,0.6842105263157894
1_059,0.7105263157894736
1_060,0.7894736842105262
1_061,0.5789473684210525
1_062,0.5
1_065,0.8684210526315789
1_066,0.6578947368421053
1_067,0.7105263157894736
1_068,0.6842105263157894
1_069,0.9210526315789475
1_071,0.7368421052631579
1_072,0.6578947368421053
1_073,0.8157894736842105
1_074,0.7105263157894736
1_075,0.6578947368421053
1_076,0.6842105263157894
1_077,0.6578947368421053
1_078,0.9210526315789475
1_079,0.7105263157894736
1_080,0.6842105263157894
1_081,0.7105263157894736
1_082,0.5789473684210525
1_083,0.6578947368421053
1_084,0.7368421052631579
1_085,0.6578947368421053
1_086,0.6578947368421053
1_087,0.7631578947368419
1_088,0.631578947368421
1_089,0.7894736842105262
1_090,0.631578947368421
1_091,0.8421052631578948
2_005,0.6578947368421053
2_006,0.6052631578947368
2_009,0.7368421052631579
2_011,0.7631578947368419
2_020,0.5789473684210525
2_021,0.6052631578947368
2_022,0.5526315789473684
2_027,0.3421052631578947
2_036,0.5526315789473684
2_038,0.5526315789473684
2_042,0.4736842105263158
2_043,0.7105263157894736
2_044,0.3157894736842105
2_050,0.5789473684210525
2_052,0.42105263157894735
2_056,0.6052631578947368
2_057,0.42105263157894735
2_058,0.6578947368421053
2_059,0.8157894736842105
2_060,0.6842105263157894
2_061,0.4473684210526315
2_062,0.7631578947368419
2_063,0.9210526315789475
2_064,0.5
2_065,0.6052631578947368
2_066,0.8421052631578948
2_067,0.631578947368421
2_068,0.42105263157894735
2_069,0.2894736842105262
3_004,0.6578947368421053
3_006,0.6578947368421053
3_007,0.6842105263157894
3_010,0.7368421052631579
3_012,0.7368421052631579
3_013,0.4473684210526315
3_016,0.8421052631578948
3_021,0.6578947368421053
3_023,0.5789473684210525
3_024,0.631578947368421
3_027,0.6842105263157894
3_028,0.6842105263157894
3_029,0.4736842105263158
3_031,0.6578947368421053
3_033,0.39473684210526316
3_035,0.5263157894736842
3_037,0.5
3_041,0.4736842105263158
3_042,0.8947368421052629
3_043,0.6842105263157894
3_046,0.6052631578947368
3_047,0.13157894736842102
3_048,0.631578947368421
3_050,0.9473684210526315
3_051,0.8157894736842105
3_052,0.5526315789473684
3_054,0.9210526315789475
3_055,0.8421052631578948
3_058,0.7368421052631579
3_059,0.6052631578947368
3_060,0.6842105263157894
3_061,0.6578947368421053
3_062,0.7105263157894736
3_063,0.7368421052631579
3_064,0.6842105263157894
3_065,0.6842105263157894
3_066,0.631578947368421
3_067,0.631578947368421
3_068,0.6842105263157894
3_069,0.7368421052631579
3_070,0.5526315789473684
3_071,0.6578947368421053
3_072,0.9473684210526315
3_073,0.6052631578947368
