Group ID,Individual ID,indiv_convq
1_005,13,0.825
1_005,22,0.825
1_005,36,0.275
1_018,20,0.8999999999999999
1_018,31,0.875
1_018,35,0.675
1_019,17,0.925
1_019,25,0.875
1_019,28,0.25
1_020,19,0.95
1_020,34,1.0
1_030,17,0.75
1_030,19,0.5
1_030,28,0.825
1_033,13,0.75
1_033,22,0.75
1_033,36,0.22499999999999998
1_034,17,0.7749999999999999
1_034,19,0.7749999999999999
1_034,25,0.7749999999999999
1_034,28,0.7749999999999999
1_035,12,0.7749999999999999
1_035,13,0.75
1_035,22,0.75
1_035,36,0.15000000000000002
1_042,16,0.875
1_042,18,0.525
1_042,21,0.675
1_044,3,1.0
1_044,22,1.0
1_046,12,0.65
1_046,13,0.15000000000000002
1_046,36,0.75
1_047,12,0.825
1_047,36,0.825
1_059,6,0.95
1_059,34,0.825
1_060,20,0.55
1_060,31,0.5
1_060,35,0.55
1_061,12,0.7
1_061,22,0.8500000000000001
1_061,36,0.725
1_062,6,0.7749999999999999
1_062,20,0.575
1_062,31,0.75
1_062,34,0.725
1_062,35,0.675
1_065,6,0.95
1_065,34,1.0
1_066,20,0.8500000000000001
1_066,31,0.75
1_066,35,0.55
1_067,17,0.75
1_067,19,0.8
1_067,25,0.75
1_067,28,0.55
1_068,2,0.275
1_068,13,0.7749999999999999
1_068,18,1.0
1_068,24,0.8
1_069,38,0.9750000000000001
1_069,39,0.8
1_071,6,0.825
1_071,20,0.725
1_071,31,0.75
1_071,34,0.475
1_071,35,0.4
1_072,8,0.4
1_072,26,0.925
1_073,8,0.9750000000000001
1_073,26,0.9750000000000001
1_074,8,0.7749999999999999
1_074,26,0.825
1_075,8,0.95
1_075,26,0.75
1_076,14,0.75
1_076,32,0.8999999999999999
1_077,14,0.875
1_077,32,0.8
1_078,14,0.925
1_078,32,0.7749999999999999
1_079,14,0.8999999999999999
1_079,32,0.8999999999999999
1_080,16,0.825
1_080,21,0.725
1_081,16,0.9750000000000001
1_081,21,0.9750000000000001
1_082,2,0.22499999999999998
1_082,18,0.7
1_083,2,0.75
1_083,18,0.75
1_084,16,0.75
1_084,21,0.75
1_085,16,0.8999999999999999
1_085,21,0.875
1_086,20,1.0
1_086,31,0.8999999999999999
1_086,34,0.95
1_086,35,0.6
1_087,20,0.8999999999999999
1_087,31,0.8999999999999999
1_087,34,0.925
1_087,35,0.725
1_088,12,0.875
1_088,36,0.875
1_089,2,0.7
1_089,13,0.95
1_089,18,0.8500000000000001
1_090,19,0.8500000000000001
1_090,25,0.9750000000000001
1_091,17,0.8999999999999999
1_091,28,0.95
2_005,2,0.925
2_005,7,1.0
2_005,31,0.825
2_005,32,0.8
2_005,36,0.7749999999999999
2_006,10,0.875
2_006,12,1.0
2_006,13,0.875
2_006,15,0.30000000000000004
2_006,33,0.65
2_006,37,1.0
2_009,23,0.875
2_009,26,0.8
2_011,14,0.75
2_011,16,0.875
2_011,29,0.8500000000000001
2_020,2,0.725
2_020,7,0.725
2_021,31,0.7
2_021,32,0.75
2_021,36,0.675
2_022,10,0.825
2_022,12,0.75
2_022,33,0.7
2_027,27,0.0
2_027,37,0.0
2_036,8,0.625
2_036,9,0.925
2_036,14,0.6
2_036,16,0.8
2_036,22,0.8999999999999999
2_036,35,0.75
2_038,10,0.9750000000000001
2_038,12,0.04999999999999999
2_038,33,0.75
2_042,2,0.22499999999999998
2_042,7,0.725
2_042,13,0.75
2_042,15,0.75
2_042,21,0.8
2_043,31,0.75
2_043,32,0.95
2_043,36,0.825
2_044,8,0.725
2_044,9,0.9750000000000001
2_044,14,0.4
2_044,16,0.375
2_044,22,0.75
2_044,30,0.75
2_050,1,0.95
2_050,10,0.825
2_050,26,0.575
2_052,12,1.0
2_052,13,0.8
2_052,15,0.825
2_052,21,0.44999999999999996
2_056,27,0.8500000000000001
2_056,28,0.75
2_056,37,1.0
2_057,27,0.04999999999999999
2_057,28,0.8999999999999999
2_057,37,1.0
2_058,5,1.0
2_058,30,0.875
