Group ID,group_convq
1_005,4.2
1_018,3.7
1_019,3.3
1_020,3.4
1_030,4.8
1_033,2.5
1_034,4.8
1_035,3.6
1_042,3.7
1_044,4.4
1_046,2.4
1_047,4.3
1_059,3.8
1_060,3.6
1_061,3.6
1_062,3.5
1_065,4.4
1_066,3.6
1_067,4.0
1_068,3.3
1_069,4.3
1_071,3.6
1_072,3.1
1_073,4.0
1_074,3.3
1_075,3.1
1_076,3.8
1_077,4.0
1_078,3.4
1_079,4.3
1_080,3.7
1_081,4.2
1_082,3.8
1_083,3.7
1_084,4.4
1_085,3.6
1_086,3.6
1_087,3.7
1_088,4.6
1_089,4.4
1_090,4.0
1_091,3.6
2_005,2.3
2_006,3.0
2_009,3.6
2_011,2.5
2_020,3.3
2_021,2.0
2_022,3.2
2_027,1.2
2_036,3.6
2_038,3.3
2_042,2.2
2_043,3.4
2_044,1.8
2_050,4.4
2_052,2.4
2_056,3.8
2_057,2.2
2_058,2.7
2_059,3.0
2_060,3.2
2_061,2.7
2_062,4.3
2_063,4.7
2_064,3.2
2_065,2.2
2_066,3.6
2_067,3.6
2_068,2.3
2_069,2.1
3_004,4.4
3_006,3.0
3_007,3.8
3_010,4.0
3_012,1.7
3_013,2.1
3_016,2.7
3_021,3.5
3_023,3.3
3_024,2.6
3_027,4.6
3_028,3.8
3_029,3.6
3_031,4.5
3_033,2.8
3_035,3.6
3_037,2.6
3_041,3.2
3_042,4.3
3_043,3.7
3_046,3.7
3_047,1.7
3_048,4.2
3_050,4.7
3_051,4.0
3_052,2.7
3_054,4.3
3_055,3.4
3_058,4.0
3_059,2.2
3_060,3.5
3_061,3.6
3_062,4.1
3_063,4.5
3_064,3.8
3_065,4.0
3_066,3.8
3_067,2.1
3_068,2.9
3_069,2.4
3_070,2.8
3_071,2.7
3_072,4.0
3_073,4.2
